1745612633713028 - DROP: Packet 116 at end of ingress (egress_spec == drop_port)
1745612635833960 - ENQUEUE: Packet 117 to port 4 with priority 0 (queue 0), queue depth before: 0
1745612642992239 - DROP: Packet 70 at end of ingress (egress_spec == drop_port)
1745612642992415 - DROP: Packet 110 at end of ingress (egress_spec == drop_port)
1745612643504207 - DROP: Packet 118 at end of ingress (egress_spec == drop_port)
1745612643504297 - DROP: Packet 111 at end of ingress (egress_spec == drop_port)
1745612644015226 - DROP: Packet 71 at end of ingress (egress_spec == drop_port)
1745612644016275 - DROP: Packet 119 at end of ingress (egress_spec == drop_port)
1745612645040119 - DROP: Packet 72 at end of ingress (egress_spec == drop_port)
1745612645040177 - DROP: Packet 112 at end of ingress (egress_spec == drop_port)
1745612645552198 - DROP: Packet 113 at end of ingress (egress_spec == drop_port)
1745612645552232 - DROP: Packet 120 at end of ingress (egress_spec == drop_port)
1745612646064300 - DROP: Packet 114 at end of ingress (egress_spec == drop_port)
1745612646065229 - DROP: Packet 121 at end of ingress (egress_spec == drop_port)
1745612648133311 - DROP: Packet 73 at end of ingress (egress_spec == drop_port)
1745612648629524 - DROP: Packet 122 at end of ingress (egress_spec == drop_port)
1745612648756088 - DROP: Packet 74 at end of ingress (egress_spec == drop_port)
1745612648758243 - DROP: Packet 115 at end of ingress (egress_spec == drop_port)
1745612648761532 - DROP: Packet 116 at end of ingress (egress_spec == drop_port)
1745612648816505 - DROP: Packet 123 at end of ingress (egress_spec == drop_port)
1745612648816624 - DROP: Packet 75 at end of ingress (egress_spec == drop_port)
1745612648879881 - DROP: Packet 124 at end of ingress (egress_spec == drop_port)
1745612648880110 - DROP: Packet 76 at end of ingress (egress_spec == drop_port)
1745612649133976 - DROP: Packet 77 at end of ingress (egress_spec == drop_port)
1745612649133982 - DROP: Packet 117 at end of ingress (egress_spec == drop_port)
1745612649200318 - DROP: Packet 125 at end of ingress (egress_spec == drop_port)
1745612649201428 - DROP: Packet 118 at end of ingress (egress_spec == drop_port)
1745612649264047 - DROP: Packet 119 at end of ingress (egress_spec == drop_port)
1745612649327379 - DROP: Packet 126 at end of ingress (egress_spec == drop_port)
1745612649711308 - DROP: Packet 127 at end of ingress (egress_spec == drop_port)
1745612649711407 - DROP: Packet 78 at end of ingress (egress_spec == drop_port)
1745612649711412 - DROP: Packet 120 at end of ingress (egress_spec == drop_port)
1745612649713498 - DROP: Packet 128 at end of ingress (egress_spec == drop_port)
1745612650160437 - DROP: Packet 121 at end of ingress (egress_spec == drop_port)
1745612651184197 - DROP: Packet 129 at end of ingress (egress_spec == drop_port)
1745612651184291 - DROP: Packet 79 at end of ingress (egress_spec == drop_port)
1745612670128401 - DROP: Packet 80 at end of ingress (egress_spec == drop_port)
1745612670128417 - DROP: Packet 122 at end of ingress (egress_spec == drop_port)
1745612671664211 - DROP: Packet 130 at end of ingress (egress_spec == drop_port)
1745612671664309 - DROP: Packet 123 at end of ingress (egress_spec == drop_port)
1745612671664383 - DROP: Packet 81 at end of ingress (egress_spec == drop_port)
1745612671666366 - DROP: Packet 131 at end of ingress (egress_spec == drop_port)
1745612675760417 - DROP: Packet 82 at end of ingress (egress_spec == drop_port)
1745612675761506 - DROP: Packet 124 at end of ingress (egress_spec == drop_port)
1745612676784171 - DROP: Packet 132 at end of ingress (egress_spec == drop_port)
1745612676784292 - DROP: Packet 125 at end of ingress (egress_spec == drop_port)
1745612677808419 - DROP: Packet 126 at end of ingress (egress_spec == drop_port)
1745612680756643 - DROP: Packet 127 at end of ingress (egress_spec == drop_port)
1745612680756777 - DROP: Packet 128 at end of ingress (egress_spec == drop_port)
1745612680757829 - DROP: Packet 83 at end of ingress (egress_spec == drop_port)
1745612680816873 - DROP: Packet 133 at end of ingress (egress_spec == drop_port)
1745612680817059 - DROP: Packet 84 at end of ingress (egress_spec == drop_port)
1745612680880208 - DROP: Packet 134 at end of ingress (egress_spec == drop_port)
1745612680880412 - DROP: Packet 85 at end of ingress (egress_spec == drop_port)
1745612680881306 - DROP: Packet 135 at end of ingress (egress_spec == drop_port)
1745612681134323 - DROP: Packet 86 at end of ingress (egress_spec == drop_port)
1745612681134325 - DROP: Packet 129 at end of ingress (egress_spec == drop_port)
1745612681200347 - DROP: Packet 136 at end of ingress (egress_spec == drop_port)
1745612681200481 - DROP: Packet 130 at end of ingress (egress_spec == drop_port)
1745612681264116 - DROP: Packet 131 at end of ingress (egress_spec == drop_port)
1745612681327091 - DROP: Packet 137 at end of ingress (egress_spec == drop_port)
1745612681711881 - DROP: Packet 138 at end of ingress (egress_spec == drop_port)
1745612681712142 - DROP: Packet 87 at end of ingress (egress_spec == drop_port)
1745612681712980 - DROP: Packet 132 at end of ingress (egress_spec == drop_port)
1745612681714019 - DROP: Packet 139 at end of ingress (egress_spec == drop_port)
1745612684976243 - DROP: Packet 140 at end of ingress (egress_spec == drop_port)
1745612684977250 - DROP: Packet 88 at end of ingress (egress_spec == drop_port)
1745612689072220 - DROP: Packet 89 at end of ingress (egress_spec == drop_port)
1745612689072221 - DROP: Packet 141 at end of ingress (egress_spec == drop_port)
1745612689073256 - DROP: Packet 133 at end of ingress (egress_spec == drop_port)
1745612725936277 - DROP: Packet 142 at end of ingress (egress_spec == drop_port)
1745612725937227 - DROP: Packet 134 at end of ingress (egress_spec == drop_port)
1745612725937300 - DROP: Packet 90 at end of ingress (egress_spec == drop_port)
1745612725939451 - DROP: Packet 91 at end of ingress (egress_spec == drop_port)
1745612730032263 - DROP: Packet 135 at end of ingress (egress_spec == drop_port)
1745612730032267 - DROP: Packet 143 at end of ingress (egress_spec == drop_port)
1745612734049679 - ENQUEUE: Packet 144 to port 3 with priority 0 (queue 0), queue depth before: 0
1745612735088294 - ENQUEUE: Packet 145 to port 3 with priority 0 (queue 0), queue depth before: 0
